2020-09-19 at 20:13:48 | DEBUG | Checking if feeds have updated...
2020-09-19 at 20:13:48 | DEBUG | Checking if feed: hacker_news requires updating...
2020-09-19 at 20:13:49 | DEBUG | Feed: hacker_news requires updating! Running date_title for feeds.json.
2020-09-19 at 20:13:50 | DEBUG | Checking if feed: mac_rumors requires updating...
2020-09-19 at 20:13:51 | DEBUG | Feed: mac_rumors does not require any updates.
2020-09-19 at 20:13:51 | DEBUG | Checking if feed: zhihu_daily requires updating...
2020-09-19 at 20:13:52 | DEBUG | Feed: zhihu_daily does not require any updates.
2020-09-19 at 20:13:52 | DEBUG | Checking if feed: NASA requires updating...
2020-09-19 at 20:13:53 | DEBUG | Feed: NASA does not require any updates.
2020-09-19 at 20:13:53 | DEBUG | Checking if feed: National Geography requires updating...
2020-09-19 at 20:13:53 | DEBUG | Feed: National Geography does not require any updates.
2020-09-19 at 20:13:53 | DEBUG | Sleeping for 12 hours...
