2020-09-19 at 16:19:02 | DEBUG | Checking if feeds have updated...
2020-09-19 at 16:19:02 | DEBUG | Checking if feed: hacker_news requires updating...
2020-09-19 at 16:19:03 | DEBUG | Feed: hacker_news does not require any updates.
2020-09-19 at 16:19:03 | DEBUG | Checking if feed: mac_rumors requires updating...
2020-09-19 at 16:19:03 | DEBUG | Feed: mac_rumors does not require any updates.
2020-09-19 at 16:19:03 | DEBUG | Checking if feed: zhihu_daily requires updating...
2020-09-19 at 16:19:04 | DEBUG | Feed: zhihu_daily does not require any updates.
2020-09-19 at 16:19:04 | DEBUG | Checking if feed: NASA requires updating...
2020-09-19 at 16:19:04 | DEBUG | Feed: NASA does not require any updates.
2020-09-19 at 16:19:04 | DEBUG | Checking if feed: National Geography requires updating...
2020-09-19 at 16:19:05 | DEBUG | Feed: National Geography does not require any updates.
2020-09-19 at 16:19:05 | DEBUG | Sleeping for 12 hours...
